var_name,var_value
project_name,"OpenChatKit"
project_link,"https://huggingface.co/togethercomputer/Pythia-Chat-Base-7B"
project_notes,""
project_llmbase,"EleutherAI pythia"
project_rlbase,"OIG"
project_license," Apache 2.0 license"
org_name,"togethercomputer"
org_link,"https://github.com/togethercomputer"
org_notes,""
opencode_class,"open"
opencode_link,""
opencode_notes,""
llmdata_class,"open"
llmdata_link,""
llmdata_notes,""
llmweights_class,"open"
llmweights_link,""
llmweights_notes,""
rldata_class,"open"
rldata_link,""
rldata_notes,""
rlweights_class,"open"
rlweights_link,""
rlweights_notes,""
license_class,"open"
license_link,""
license_notes,""
code_class,"open"
code_link,""
code_notes,""
architecture_class,"closed"
architecture_link,""
architecture_notes,""
preprint_class,"partial"
preprint_link,""
preprint_notes,""
paper_class,"closed"
paper_link,""
paper_notes,""
modelcard_class,"closed"
modelcard_link,""
modelcard_notes,""
datasheet_class,"closed"
datasheet_link,""
datasheet_notes,""
package_class,"open"
package_link,""
package_notes,""
api_class,"closed"
api_link,""
api_notes,""
