var_name,var_value
project_name,"text-generation-webui"
project_link,"https://github.com/oobabooga/text-generation-webui"
project_notes,""
project_llmbase,"various"
project_rlbase,"various"
project_license,"GNU Affero General Public License v3.0"
org_name,"Oobabooga"
org_link,"https://oobabooga.github.io"
org_notes,""
opencode_class,"open"
opencode_link,""
opencode_notes,""
llmdata_class,"open"
llmdata_link,"https://huggingface.co/models?sort=downloads&search=eleutherai%2Fpythia+deduped"
llmdata_notes,""
llmweights_class,"open"
llmweights_link,""
llmweights_notes,""
rldata_class,"closed"
rldata_link,""
rldata_notes,""
rlweights_class,"closed"
rlweights_link,""
rlweights_notes,""
license_class,"open"
license_link,""
license_notes,""
code_class,"open"
code_link,""
code_notes,""
architecture_class,"closed"
architecture_link,""
architecture_notes,""
preprint_class,"closed"
preprint_link,""
preprint_notes,""
paper_class,"closed"
paper_link,""
paper_notes,""
modelcard_class,"closed"
modelcard_link,""
modelcard_notes,""
datasheet_class,"closed"
datasheet_link,""
datasheet_notes,""
package_class,"closed"
package_link,""
package_notes,""
api_class,"closed"
api_link,""
api_notes,""
